nickname,team,conference,rating,lat,long,coords,score,wins,losses
SDSt,South Dakota State,MISSOURI VALLEY,76.02,44.3209773912753,-96.7801523208618,"(44.321,-96.7802)",0,,
SeLA,SE Louisiana,SOUTHLAND,55.68,30.5109652922055,-90.4687964916229,"(30.511,-90.4688)",0,,
SEMS,SE Missouri State,OHIO VALLEY,55.34,37.3091932771759,-89.5314717292785,"(37.3092,-89.5315)",0,,
SFA,Stephen F. Austin,WAC,45.56,31.6254476402517,-94.6449971628411,"(31.6254,-94.645)",0,,
SHSt,Sam Houston State,WAC,48.38,30.7139467376334,-95.5419158935546,"(30.7139,-95.5419)",0,,
SJSU,San Jose State,MWC-WEST,62.73,37.3201051866908,-121.86811613079,"(37.3201,-121.8681)",0,,
SMU,SMU,AAC,71.89,32.8377158099425,-96.782705783844,"(32.8377,-96.7827)",0,,
SoAL,South Alabama,SUN BELT WEST,66.84,30.6742389873067,-88.0756330490112,"(30.6742,-88.0756)",0,,
SoIL,Southern Illinois,MISSOURI VALLEY,58.32,37.7084995618978,-89.2169578488814,"(37.7085,-89.217)",0,,
SoMS,Southern Miss,SUN BELT WEST,63.07,31.3289784266123,-89.3313306570053,"(31.329,-89.3313)",0,,
Sou,Southern U.,SWAC-WEST,39.82,30.5219699680965,-91.1895312981897,"(30.522,-91.1895)",0,,
